strain1,strain2,chr_num,start,end
ED3040,ED3077,1,1431771,2237612
ED3040,JU1172,1,1431771,2237612
ED3040,LKC34,1,1431771,2237612
EG4946,JT11398,1,1047893,2237612
EG4946,JU1212,1,8174,2237612
EG4946,JU394,1,8174,2237612
EG4946,JU561,1,8174,2237612
EG4946,LSJ1,1,8174,2237612
EG4946,WN2002,1,8174,2237612
EG4946,JU1200,1,8174,2237612
EG4946,JU1246,1,1431771,2237612
EG4946,JU1395,1,8174,2237612
EG4946,JU1586,1,8174,2237612
EG4946,JU1896,1,8174,2237612
EG4946,JU440,1,8174,2237612
JU323,JU1088,1,8174,2237612
JU1088,JU1172,1,8174,2237612
JU1491,JU406,1,8174,2237612
JU1491,KR314,1,1667281,2237612
JU775,JU1652,1,1431771,2237612
JU360,JU782,1,1667281,2237612
JU363,JU782,1,1667281,2237612
JU393,JU782,1,1431771,2237612
JU406,JU778,1,8174,2237612
JU406,KR314,1,1667281,2237612
JU778,KR314,1,1667281,2237612
CB4851,AB1,1,8174,2549898
CB4852,AB1,1,8174,2549898
ED3012,AB1,1,8174,2549898
ED3017,AB1,1,8174,2549898
JT11398,AB1,1,1047893,2549898
JU1212,AB1,1,8174,2549898
JU394,AB1,1,8174,2549898
LSJ1,AB1,1,8174,2549898
AB1,CB4932,1,8174,2549898
AB1,JU1200,1,8174,2549898
AB1,JU1246,1,1431771,2549898
AB1,JU1395,1,8174,2549898
AB1,JU1586,1,8174,2549898
AB1,JU1896,1,8174,2549898
AB1,JU440,1,8174,2549898
CB4851,CB4852,1,8174,2549898
CB4851,JU561,1,8174,2549898
CB4851,WN2002,1,8174,2549898
CB4851,JU1395,1,8174,2549898
CB4852,ED3012,1,8174,2549898
CB4852,ED3017,1,8174,2549898
CB4852,JT11398,1,1047893,2549898
CB4852,JU1212,1,8174,2549898
CB4852,JU394,1,8174,2549898
CB4852,JU561,1,8174,2549898
CB4852,LSJ1,1,8174,2549898
CB4852,WN2002,1,8174,2549898
CB4852,CB4932,1,8174,2549898
CB4852,JU1200,1,8174,2549898
CB4852,JU1246,1,1431771,2549898
CB4852,JU1586,1,8174,2549898
CB4852,JU1896,1,8174,2549898
CB4852,JU440,1,8174,2549898
JU561,CB4932,1,8174,2549898
WN2002,CB4932,1,8174,2549898
CB4932,JU1395,1,8174,2549898
ED3012,JU561,1,8174,2549898
ED3012,WN2002,1,8174,2549898
ED3012,JU1395,1,8174,2549898
ED3017,JU561,1,8174,2549898
ED3017,WN2002,1,8174,2549898
ED3017,JU1395,1,8174,2549898
JU1409,EG4724,1,1431771,2549898
JU1568,EG4724,1,1667281,2549898
JU311,EG4724,1,1667281,2549898
JU792,EG4724,1,1431771,2549898
JU397,EG4724,1,1667281,2549898
JU847,EG4724,1,1667281,2549898
EG4724,JU1400,1,8174,2549898
EG4724,MY16,1,1667281,2549898
EG4725,JU1440,1,8174,2549898
JT11398,JU561,1,1047893,2549898
JT11398,WN2002,1,1047893,2549898
JT11398,JU1395,1,1047893,2549898
JU561,JU1200,1,8174,2549898
WN2002,JU1200,1,8174,2549898
JU1200,JU1395,1,8174,2549898
JU1212,JU561,1,8174,2549898
JU1212,WN2002,1,8174,2549898
JU1212,JU1395,1,8174,2549898
JU1213,JU1440,1,8174,2549898
JU561,JU1246,1,1431771,2549898
WN2002,JU1246,1,1431771,2549898
JU1246,JU1395,1,1431771,2549898
JU394,JU1395,1,8174,2549898
JU561,JU1395,1,8174,2549898
LSJ1,JU1395,1,8174,2549898
WN2002,JU1395,1,8174,2549898
JU1395,JU1586,1,8174,2549898
JU1395,JU1896,1,8174,2549898
JU1395,JU440,1,8174,2549898
JU1568,JU1400,1,1667281,2549898
JU311,JU1400,1,1667281,2549898
JU847,JU1400,1,1667281,2549898
JU1400,MY16,1,1667281,2549898
JU1409,JU1568,1,1667281,2549898
JU1409,JU311,1,1667281,2549898
JU1409,JU847,1,1667281,2549898
JU1409,MY16,1,1667281,2549898
JU1440,JU1580,1,8174,2549898
JU1440,JU642,1,8174,2549898
JU1568,JU792,1,1667281,2549898
JU1568,JU397,1,1667281,2549898
JU1568,JU847,1,1667281,2549898
JU561,JU1586,1,8174,2549898
WN2002,JU1586,1,8174,2549898
JU561,JU1896,1,8174,2549898
WN2002,JU1896,1,8174,2549898
JU311,JU792,1,1667281,2549898
JU311,JU397,1,1667281,2549898
JU311,JU847,1,1667281,2549898
JU394,JU561,1,8174,2549898
JU394,WN2002,1,8174,2549898
JU397,JU847,1,1667281,2549898
JU397,MY16,1,1667281,2549898
JU561,JU440,1,8174,2549898
WN2002,JU440,1,8174,2549898
JU561,LSJ1,1,8174,2549898
JU792,JU847,1,1667281,2549898
JU792,MY16,1,1667281,2549898
JU847,MY16,1,1667281,2549898
LSJ1,WN2002,1,8174,2549898
CB4851,ED3017,1,8174,2852979
CB4851,JT11398,1,1047893,2852979
CB4851,JU1896,1,8174,2852979
CB4853,ED3048,1,1667281,2852979
CB4853,ED3052,1,1667281,2852979
CB4853,JU323,1,1431771,2852979
CB4853,CB4857,1,1431771,2852979
CB4853,DL226,1,2237630,2852979
CB4853,ED3077,1,1431771,2852979
CB4853,LKC34,1,1431771,2852979
CB4853,PB306,1,1047893,2852979
CB4858,CB4857,1,8174,2852979
CX11292,CB4857,1,8174,2852979
CX11271,CB4857,1,1993056,2852979
ED3005,CB4857,1,8174,2852979
QX1233,CB4857,1,1047893,2852979
CB4857,CX11307,1,8174,2852979
CB4857,CX11314,1,8174,2852979
CB4857,ED3011,1,8174,2852979
CB4857,JU1172,1,8174,2852979
CB4858,ED3048,1,1667281,2852979
CB4858,ED3052,1,1667281,2852979
CB4858,JU323,1,8174,2852979
CB4858,DL226,1,2237630,2852979
CB4858,ED3077,1,1047893,2852979
CB4858,LKC34,1,1431771,2852979
CB4858,PB306,1,1431771,2852979
ED3017,CB4932,1,8174,2852979
JT11398,CB4932,1,1047893,2852979
PX174,CB4932,1,1993056,2852979
CB4932,JU1896,1,8174,2852979
CB4932,PB303,1,1993056,2852979
CX11315,CX11264,1,8174,2852979
CX11276,CX11264,1,1993056,2852979
JU1491,CX11264,1,1993056,2852979
CX11264,JU778,1,1993056,2852979
CX11271,ED3048,1,1993056,2852979
CX11271,ED3052,1,1993056,2852979
CX11271,JU323,1,1993056,2852979
CX11271,DL226,1,2237630,2852979
CX11271,ED3077,1,1993056,2852979
CX11271,LKC34,1,1993056,2852979
CX11271,PB306,1,1993056,2852979
CX11315,CX11276,1,1993056,2852979
CX11276,JU1491,1,1667281,2852979
CX11276,JU778,1,1667281,2852979
CX11292,ED3048,1,1667281,2852979
CX11292,ED3052,1,1667281,2852979
CX11292,JU323,1,8174,2852979
CX11292,DL226,1,2237630,2852979
CX11292,ED3077,1,1047893,2852979
CX11292,LKC34,1,1431771,2852979
CX11292,PB306,1,1431771,2852979
ED3048,CX11307,1,1667281,2852979
ED3052,CX11307,1,1667281,2852979
JU323,CX11307,1,8174,2852979
CX11307,DL226,1,2237630,2852979
CX11307,ED3077,1,1431771,2852979
CX11307,LKC34,1,1431771,2852979
CX11307,PB306,1,1431771,2852979
ED3048,CX11314,1,1667281,2852979
ED3052,CX11314,1,1667281,2852979
JU323,CX11314,1,8174,2852979
CX11314,DL226,1,2237630,2852979
CX11314,ED3077,1,1047893,2852979
CX11314,LKC34,1,1431771,2852979
CX11314,PB306,1,1431771,2852979
CX11315,JU1491,1,1993056,2852979
CX11315,JU778,1,1993056,2852979
QX1233,DL226,1,2237630,2852979
DL226,ED3011,1,2237630,2852979
ED3005,ED3048,1,1667281,2852979
ED3005,ED3052,1,1667281,2852979
ED3005,JU323,1,8174,2852979
ED3005,ED3077,1,1047893,2852979
ED3005,LKC34,1,1431771,2852979
ED3048,ED3011,1,1667281,2852979
JU323,ED3011,1,8174,2852979
ED3011,ED3077,1,1047893,2852979
ED3011,LKC34,1,1431771,2852979
ED3011,PB306,1,1431771,2852979
ED3012,ED3017,1,8174,2852979
ED3012,JT11398,1,1047893,2852979
ED3012,JU1896,1,8174,2852979
ED3012,PB303,1,1993056,2852979
ED3017,JT11398,1,1047893,2852979
ED3017,JU1212,1,8174,2852979
ED3017,JU367,1,2237630,2852979
ED3017,JU394,1,8174,2852979
ED3017,LSJ1,1,8174,2852979
ED3017,JU1200,1,8174,2852979
ED3017,JU1246,1,1431771,2852979
ED3017,JU1586,1,8174,2852979
ED3017,JU440,1,8174,2852979
ED3048,QX1233,1,1667281,2852979
ED3048,JU1172,1,1667281,2852979
ED3052,QX1233,1,1667281,2852979
ED3052,JU1172,1,1667281,2852979
QX1233,ED3077,1,1431771,2852979
ED3077,JU1172,1,1047893,2852979
EG4349,JU1213,1,2237630,2852979
EG4349,EG4725,1,1993056,2852979
JU310,EG4725,1,1993056,2852979
JU1213,EG4725,1,8174,2852979
JU830,EG4725,1,1993056,2852979
MY18,EG4725,1,1993056,2852979
EG4725,JU1530,1,1993056,2852979
EG4725,JU1580,1,8174,2852979
EG4725,JU642,1,8174,2852979
EG4725,JU751,1,1993056,2852979
JT11398,JU1212,1,1047893,2852979
JT11398,JU367,1,2237630,2852979
JT11398,JU394,1,1047893,2852979
JT11398,LSJ1,1,1047893,2852979
JT11398,PX174,1,1993056,2852979
JT11398,JU1200,1,1047893,2852979
JT11398,JU1246,1,1431771,2852979
JT11398,JU1586,1,1047893,2852979
JT11398,JU1896,1,1047893,2852979
JT11398,JU440,1,1047893,2852979
JT11398,PB303,1,1993056,2852979
JU323,JU1172,1,8174,2852979
JU1172,LKC34,1,1431771,2852979
JU1172,PB306,1,1431771,2852979
JU1200,JU1896,1,8174,2852979
JU1200,PB303,1,1993056,2852979
JU1212,JU1896,1,8174,2852979
JU1212,PB303,1,1993056,2852979
JU1213,MY18,1,2237630,2852979
JU1213,JU1580,1,8174,2852979
JU1213,JU642,1,8174,2852979
JU1213,JU751,1,1993056,2852979
JU1242,JU1409,1,1993056,2852979
JU1242,JU1400,1,1993056,2852979
JU1242,JU406,1,2237630,2852979
JU1246,JU1896,1,1431771,2852979
JU1246,PB303,1,1993056,2852979
JU1409,JU1400,1,1431771,2852979
JU792,JU1400,1,1431771,2852979
JU397,JU1400,1,1667281,2852979
JU1409,JU792,1,1431771,2852979
JU1409,JU397,1,1667281,2852979
JU1409,JU406,1,2237630,2852979
JU1586,JU1896,1,8174,2852979
JU1586,PB303,1,1993056,2852979
JU367,JU1896,1,2237630,2852979
JU394,JU1896,1,8174,2852979
LSJ1,JU1896,1,8174,2852979
JU1896,JU440,1,8174,2852979
JU323,QX1233,1,1047893,2852979
JU367,PB303,1,2237630,2852979
JU394,PB303,1,1993056,2852979
JU397,JU406,1,2237630,2852979
JU792,JU406,1,2237630,2852979
JU440,PB303,1,1993056,2852979
JU775,JU782,1,1993056,2852979
QX1233,LKC34,1,1431771,2852979
LSJ1,PB303,1,1993056,2852979
QX1233,PB306,1,1431771,2852979
CB4853,ED3005,1,1431771,3130132
CB4853,ED3011,1,1431771,3130132
MY10,CB4854,1,2549941,3130132
MY10,CB4857,1,2549941,3130132
CB4858,ED3005,1,8174,3130132
CB4858,ED3011,1,8174,3130132
CX11271,ED3005,1,1993056,3130132
CX11271,ED3011,1,1993056,3130132
CX11285,MY10,1,2549941,3130132
CX11292,ED3005,1,8174,3130132
CX11292,ED3011,1,8174,3130132
ED3005,CX11307,1,8174,3130132
CX11307,ED3011,1,8174,3130132
ED3005,CX11314,1,8174,3130132
CX11314,ED3011,1,8174,3130132
ED3005,EG4946,1,2549941,3130132
ED3005,QX1233,1,1047893,3130132
ED3005,JU1172,1,8174,3130132
EG4946,ED3011,1,2549941,3130132
QX1233,ED3011,1,1047893,3130132
ED3011,JU1172,1,8174,3130132
ED3017,JU1896,1,769140,3130132
ED3017,PB303,1,1993056,3130132
ED3048,MY10,1,2549941,3130132
ED3052,MY10,1,2549941,3130132
MY10,ED3077,1,2549941,3130132
EG4347,MY10,1,2549941,3130132
EG4349,JU310,1,1993056,3130132
EG4349,JU830,1,1993056,3130132
EG4349,MY18,1,1993056,3130132
EG4349,JU1530,1,1993056,3130132
EG4349,JU1580,1,2237630,3130132
EG4349,JU642,1,1993056,3130132
EG4349,JU751,1,1993056,3130132
EG4349,JU782,1,2549941,3130132
MY10,JU1088,1,2549941,3130132
MY18,JU1530,1,1993056,3130132
JU1530,JU1580,1,1993056,3130132
JU1530,JU642,1,1993056,3130132
JU1530,JU751,1,1993056,3130132
JU1530,JU782,1,2549941,3130132
JU1568,MY16,1,1431771,3130132
JU310,JU1580,1,1993056,3130132
JU830,JU1580,1,1993056,3130132
MY18,JU1580,1,2237630,3130132
JU1580,JU642,1,8174,3130132
JU1580,JU782,1,2549941,3130132
JU1652,JU393,1,1993056,3130132
PX174,JU1896,1,1993056,3130132
JU1896,PB303,1,1993056,3130132
JU310,MY18,1,1993056,3130132
JU310,JU642,1,1993056,3130132
JU310,JU751,1,1993056,3130132
JU310,JU782,1,2549941,3130132
JU311,MY16,1,8174,3130132
JU323,MY10,1,2549941,3130132
JU346,MY10,1,2549941,3130132
JU360,JU393,1,1667281,3130132
JU363,JU393,1,1667281,3130132
JU830,JU642,1,1993056,3130132
JU642,JU751,1,1993056,3130132
JU642,JU782,1,2549941,3130132
JU830,JU751,1,1993056,3130132
MY18,JU751,1,1993056,3130132
JU751,JU782,1,2549941,3130132
JU830,JU782,1,2549941,3130132
MY18,JU782,1,2549941,3130132
JU830,MY18,1,1993056,3130132
MY10,KR314,1,2549941,3130132
MY10,LKC34,1,2549941,3130132
MY10,MY1,1,2549941,3130132
MY10,PX179,1,2549941,3130132
AB1,ED3040,1,2858470,3414224
CB4852,ED3040,1,2858470,3414224
JU346,CB4854,1,2549941,3414224
CB4854,ED3040,1,2858470,3414224
CB4854,JU1088,1,2549941,3414224
CB4854,MY1,1,2549941,3414224
CB4857,ED3040,1,2858470,3414224
CX11285,ED3040,1,2858470,3414224
ED3048,ED3040,1,2858470,3414224
ED3052,ED3040,1,2858470,3414224
EG4347,ED3040,1,2858470,3414224
JU323,ED3040,1,2858470,3414224
JU346,ED3040,1,2858470,3414224
JU561,ED3040,1,2858470,3414224
JU847,ED3040,1,2858470,3414224
PX179,ED3040,1,2858470,3414224
WN2002,ED3040,1,2858470,3414224
ED3040,ED3046,1,2858470,3414224
ED3040,ED3049,1,2858470,3414224
ED3040,ED3077,1,2858470,3414224
ED3040,JU1088,1,2858470,3414224
ED3040,JU1395,1,2858470,3414224
ED3040,KR314,1,2858470,3414224
ED3040,LKC34,1,2858470,3414224
ED3040,MY1,1,2858470,3414224
ED3048,JU346,1,2549941,3414224
ED3048,JU1088,1,2549941,3414224
ED3048,MY1,1,2549941,3414224
JU1580,JU751,1,1993056,3414224
JU1581,JU360,1,2858470,3414224
JU1581,JU363,1,2858470,3414224
JU1581,JU1652,1,2858470,3414224
JU1652,JU1896,1,2858470,3414224
JU360,JU1896,1,2858470,3414224
JU363,JU1896,1,2858470,3414224
JU310,JU830,1,1993056,3414224
JU346,AB1,1,2858470,3774932
WN2002,AB1,1,8174,3774932
CB4851,JU830,1,3130166,3774932
CB4851,WN2002,1,3130166,3774932
CB4852,WN2002,1,2858470,3774932
WN2002,CB4854,1,2858470,3774932
JU346,CB4857,1,2549941,3774932
WN2002,CB4857,1,2858470,3774932
EG4347,CB4932,1,3130166,3774932
JU1213,CB4932,1,3130166,3774932
JU775,CB4932,1,3130166,3774932
JU830,CB4932,1,3130166,3774932
PX179,CB4932,1,3130166,3774932
WN2002,CB4932,1,3130166,3774932
CB4932,JU774,1,3130166,3774932
WN2002,CX11264,1,3414274,3774932
CX11276,WN2002,1,3130166,3774932
CX11285,JU346,1,2549941,3774932
CX11285,WN2002,1,2858470,3774932
CX11315,WN2002,1,3414274,3774932
WN2002,DL200,1,3130166,3774932
WN2002,DL226,1,3130166,3774932
ED3012,JU830,1,3130166,3774932
ED3012,WN2002,1,3130166,3774932
ED3017,WN2002,1,3414274,3774932
JU346,ED3046,1,2858470,3774932
WN2002,ED3046,1,2858470,3774932
ED3048,WN2002,1,2858470,3774932
JU346,ED3049,1,2858470,3774932
WN2002,ED3049,1,2858470,3774932
ED3052,JU346,1,2549941,3774932
ED3052,WN2002,1,2858470,3774932
ED3073,WN2002,1,3414274,3774932
JU346,ED3077,1,2549941,3774932
WN2002,ED3077,1,2858470,3774932
EG4347,JU1568,1,3130166,3774932
EG4347,JU311,1,3130166,3774932
EG4347,JU346,1,2549941,3774932
EG4347,JU367,1,3130166,3774932
EG4347,WN2002,1,2858470,3774932
EG4347,JU1088,1,2549941,3774932
EG4347,JU1246,1,3130166,3774932
EG4347,MY1,1,2549941,3774932
EG4349,WN2002,1,3414274,3774932
JU346,EG4724,1,3130166,3774932
WN2002,EG4724,1,3130166,3774932
JT11398,WN2002,1,3130166,3774932
PX179,JU1088,1,2549941,3774932
WN2002,JU1088,1,2858470,3774932
JU830,JU1200,1,3130166,3774932
WN2002,JU1200,1,3130166,3774932
JU1212,JU830,1,3130166,3774932
JU1212,WN2002,1,3130166,3774932
JU1213,JU1568,1,3130166,3774932
JU1213,JU311,1,3130166,3774932
JU1213,JU367,1,3130166,3774932
JU1213,JU830,1,3130166,3774932
JU1213,WN2002,1,3130166,3774932
JU1213,JU1246,1,3130166,3774932
JU1242,WN2002,1,3130166,3774932
JU775,JU1246,1,3130166,3774932
JU830,JU1246,1,3130166,3774932
PX179,JU1246,1,3130166,3774932
WN2002,JU1246,1,3130166,3774932
JU1246,JU774,1,3130166,3774932
WN2002,JU1395,1,2858470,3774932
JU1409,WN2002,1,3130166,3774932
WN2002,JU1440,1,3130166,3774932
JU1491,WN2002,1,3130166,3774932
WN2002,JU1530,1,3130166,3774932
JU1568,JU775,1,3130166,3774932
JU1568,JU830,1,3130166,3774932
JU1568,PX179,1,3130166,3774932
JU1568,WN2002,1,3130166,3774932
JU1568,JU774,1,3130166,3774932
JU1581,JU1896,1,2549941,3774932
JU830,JU1586,1,3130166,3774932
WN2002,JU1586,1,3130166,3774932
JU310,WN2002,1,3130166,3774932
JU311,JU775,1,3130166,3774932
JU311,JU830,1,3130166,3774932
JU311,PX179,1,3130166,3774932
JU311,WN2002,1,3130166,3774932
JU311,JU774,1,3130166,3774932
JU323,WN2002,1,2858470,3774932
JU346,PX179,1,2549941,3774932
JU346,WN2002,1,2858470,3774932
JU346,KR314,1,2549941,3774932
JU346,LKC34,1,2549941,3774932
JU367,JU775,1,3130166,3774932
JU367,JU830,1,3130166,3774932
JU367,PX179,1,3130166,3774932
JU367,WN2002,1,3130166,3774932
JU367,JU774,1,3130166,3774932
JU394,JU830,1,3130166,3774932
JU394,WN2002,1,3130166,3774932
JU830,JU406,1,3130166,3774932
WN2002,JU406,1,3130166,3774932
JU830,JU440,1,3130166,3774932
WN2002,JU440,1,3130166,3774932
JU561,WN2002,1,8174,3774932
WN2002,JU774,1,3130166,3774932
JU775,WN2002,1,3130166,3774932
WN2002,JU778,1,3130166,3774932
JU792,WN2002,1,3130166,3774932
JU830,LSJ1,1,3130166,3774932
JU830,PX179,1,3130166,3774932
JU830,WN2002,1,3130166,3774932
JU847,WN2002,1,2858470,3774932
WN2002,KR314,1,2858470,3774932
WN2002,LKC34,1,2858470,3774932
LSJ1,WN2002,1,3130166,3774932
PX179,MY1,1,2549941,3774932
WN2002,MY1,1,2858470,3774932
WN2002,PB303,1,3414274,3774932
PX179,WN2002,1,2858470,3774932
JU1212,AB1,1,3130166,4210612
PX174,AB1,1,3414274,4210612
CB4851,JU1212,1,8174,4210612
CB4852,JU1212,1,3130166,4210612
CB4852,PX174,1,3414274,4210612
PX174,CB4854,1,3414274,4210612
JU1212,CB4857,1,3130166,4210612
PX174,CB4857,1,3414274,4210612
JU1212,CB4932,1,8174,4210612
CX11262,PX174,1,3414274,4210612
JU1212,CX11264,1,3414274,4210612
PX174,CX11264,1,3414274,4210612
CX11276,JU1212,1,3130166,4210612
CX11276,PX174,1,3414274,4210612
CX11285,JU1212,1,3130166,4210612
CX11285,PX174,1,3414274,4210612
CX11315,JU1212,1,3414274,4210612
CX11315,PX174,1,3414274,4210612
JU1212,DL200,1,3130166,4210612
PX174,DL200,1,3414274,4210612
JU1212,DL226,1,3130166,4210612
PX174,DL226,1,3414274,4210612
ED3012,JU1212,1,8174,4210612
ED3017,JU1212,1,3414274,4210612
ED3017,PX174,1,3414274,4210612
JU1212,ED3046,1,3130166,4210612
PX174,ED3046,1,3414274,4210612
ED3048,JU1212,1,3130166,4210612
ED3048,PX174,1,3414274,4210612
JU1212,ED3049,1,3130166,4210612
PX174,ED3049,1,3414274,4210612
ED3052,JU1212,1,3130166,4210612
ED3052,PX174,1,3414274,4210612
ED3073,JU1212,1,3414274,4210612
ED3073,PX174,1,3414274,4210612
JU1212,ED3077,1,3130166,4210612
PX174,ED3077,1,3414274,4210612
EG4347,JU1212,1,3130166,4210612
EG4349,JU1212,1,3414274,4210612
EG4349,PX174,1,3414274,4210612
JU1212,EG4724,1,3130166,4210612
PX174,EG4724,1,3414274,4210612
JT11398,JU1212,1,3130166,4210612
JT11398,PX174,1,3414274,4210612
JU1088,LKC34,1,2549941,4210612
JU1212,JU1200,1,8174,4210612
JU310,JU1212,1,3130166,4210612
JU1212,JU1213,1,3130166,4210612
JU1212,JU1242,1,3130166,4210612
JU1212,JU1409,1,3130166,4210612
JU1212,JU1491,1,3130166,4210612
JU1212,JU1568,1,2858470,4210612
JU1212,JU311,1,2858470,4210612
JU1212,JU323,1,3130166,4210612
JU1212,JU367,1,2237630,4210612
JU1212,JU394,1,8174,4210612
JU1212,JU792,1,3130166,4210612
JU1212,JU561,1,3130166,4210612
JU1212,JU775,1,3130166,4210612
JU1212,JU847,1,3130166,4210612
JU1212,LSJ1,1,8174,4210612
JU1212,PX179,1,3130166,4210612
JU1212,JU1246,1,1431771,4210612
JU1212,JU1395,1,3130166,4210612
JU1212,JU1440,1,3130166,4210612
JU1212,JU1530,1,3130166,4210612
JU1212,JU1586,1,8174,4210612
JU1212,JU406,1,2858470,4210612
JU1212,JU440,1,8174,4210612
JU1212,JU774,1,3130166,4210612
JU1212,JU778,1,3130166,4210612
JU1212,KR314,1,3130166,4210612
JU1212,LKC34,1,3130166,4210612
JU1212,PB303,1,3414274,4210612
JU1242,PX174,1,3414274,4210612
JU830,JU1395,1,3130166,4210612
PX174,JU1395,1,3414274,4210612
JU1409,PX174,1,3414274,4210612
PX174,JU1440,1,3414274,4210612
PX174,JU1530,1,3414274,4210612
JU310,PX174,1,3414274,4210612
JU323,PX174,1,3414274,4210612
PX174,JU393,1,3414274,4210612
JU397,PX174,1,3414274,4210612
JU561,PX174,1,3414274,4210612
PX174,JU778,1,3414274,4210612
JU792,PX174,1,3414274,4210612
JU830,LKC34,1,3130166,4210612
JU847,PX174,1,3414274,4210612
PX174,KR314,1,3414274,4210612
PX174,LKC34,1,3414274,4210612
LKC34,MY1,1,2549941,4210612
MY23,PX174,1,3414274,4210612
PX174,PB303,1,1431771,4210612
PX174,PS2025,1,3414274,4210612
CB4852,CX11262,1,3130166,4670103
CB4852,ED3017,1,3414274,4670103
CB4852,JU310,1,3130166,4670103
CB4852,MY23,1,2858470,4670103
CB4852,JU1491,1,3130166,4670103
CB4852,JU792,1,3130166,4670103
CB4852,JU561,1,2858470,4670103
CB4852,JU775,1,3130166,4670103
CB4852,MY10,1,3777781,4670103
CB4852,DL200,1,3130166,4670103
CB4852,DL226,1,3130166,4670103
CB4852,ED3046,1,2858470,4670103
CB4852,ED3049,1,2858470,4670103
CB4852,PB303,1,3414274,4670103
CB4852,PB306,1,3777781,4670103
CB4852,PS2025,1,3130166,4670103
MY23,DL200,1,3130166,4670103
ED3017,MY23,1,3414274,4670103
MY23,ED3046,1,2858470,4670103
MY23,ED3049,1,2858470,4670103
MY23,JU1491,1,3777781,4670103
JU310,MY23,1,3130166,4670103
MY23,JU561,1,2858470,4670103
MY18,JU642,1,1993056,4670103
MY23,JU792,1,3130166,4670103
MY23,MY10,1,3777781,4670103
MY23,PB303,1,3414274,4670103
AB1,JU774,1,3130166,5252957
CB4851,JU774,1,3130166,5252957
CB4852,JU751,1,3777781,5252957
CB4852,JU774,1,3130166,5252957
CB4852,JU782,1,3414274,5252957
CB4852,LKC34,1,2858470,5252957
CB4854,JU774,1,3130166,5252957
CB4857,JU774,1,3130166,5252957
CB4932,JU751,1,3777781,5252957
CB4932,JU782,1,3414274,5252957
CB4932,LKC34,1,3130166,5252957
CX11264,JU774,1,3414274,5252957
CX11276,JU751,1,3777781,5252957
CX11276,JU774,1,3130166,5252957
